NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0809 Entries & Exits,0809 Interchanges
5092,53378,60182,229278,342838,53378,60182,229278,342838,685676,0
8047,1312,2719,1096,5127,1312,2719,1096,5127,10254,0
8564,31323,38181,17784,87288,31323,38181,17784,87288,174576,0
7439,359139,349367,790406,1498912,359139,349367,790406,1498912,2997824,0
2676,7104,1604,416,9124,7104,1604,416,9124,18248,0
5624,15204,12402,32029,59635,15204,12402,32029,59635,119270,0
8352,33171,13439,33284,79894,33171,13439,33284,79894,159788,0
3549,1849,9367,4840,16056,1849,9367,4840,16056,32112,0
3550,435,4178,1013,5626,435,4178,1013,5626,11252,0
1390,165036,226886,299969,691891,165036,226886,299969,691891,1383782,0
1045,21918,34278,41087,97283,21918,34278,41087,97283,194566,0
7330,376,143,0,519,376,143,0,519,1038,0
8431,7361,4510,2104,13975,7361,4510,2104,13975,27950,0
5581,31111,47829,108879,187819,31111,47829,108879,187819,375638,0
5323,5881,17668,12792,36341,5881,17668,12792,36341,72682,0
7791,12117,173658,17139,202914,12117,173658,17139,202914,405828,2550
2351,879,1084,10,1973,879,1084,10,1973,3946,0
1003,8427,17936,15740,42103,8427,17936,15740,42103,84206,0
5472,2084,2173,6363,10620,2084,2173,6363,10620,21240,0
6961,38604,65191,168858,272653,38604,65191,168858,272653,545306,0
2449,8701,5499,86,14286,8701,5499,86,14286,28572,0
8048,67748,117436,113815,298999,67748,117436,113815,298999,597998,75
5211,91944,207519,312821,612284,91944,207519,312821,612284,1224568,0
5093,83386,111915,391666,586967,83386,111915,391666,586967,1173934,0
5094,185153,235694,1113958,1534805,185153,235694,1113958,1534805,3069610,0
3048,101196,227962,163245,492403,101196,227962,163245,492403,984806,0
3104,6672,11158,12152,29982,6672,11158,12152,29982,59964,0
5063,64706,75897,270390,410993,64706,75897,270390,410993,821986,2406
2136,41545,71256,30107,142908,41545,71256,30107,142908,285816,80906
6170,77777,118334,171118,367229,77777,118334,171118,367229,734458,0
4618,10601,9539,17528,37668,10601,9539,17528,37668,75336,0
6871,203711,240453,972573,1416737,203711,240453,972573,1416737,2833474,0
7910,15148,14869,5728,35745,15148,14869,5728,35745,71490,0
5464,35088,68265,119053,222406,35088,68265,119053,222406,444812,0
6235,7423,4970,2594,14987,7423,4970,2594,14987,29974,0
8553,168689,182067,155652,506408,168689,182067,155652,506408,1012816,0
3907,3052,2322,4728,10102,3052,2322,4728,10102,20204,0
5163,16950,37200,85126,139276,16950,37200,85126,139276,278552,0
2304,118069,72132,65820,256021,118069,72132,65820,256021,512042,0
5401,3230,2991,12929,19150,3230,2991,12929,19150,38300,0
2352,85865,225786,98469,410120,85865,225786,98469,410120,820240,0
2217,131578,274909,108912,515399,131578,274909,108912,515399,1030798,0
2219,395320,570607,345744,1311671,395320,570607,345744,1311671,2623342,287127
2145,118656,223684,98616,440956,118656,223684,98616,440956,881912,77230
2220,176904,253207,146208,576319,176904,253207,146208,576319,1152638,0
4513,246,2215,336,2797,246,2215,336,2797,5594,0
1215,536251,735495,789439,2061185,536251,735495,789439,2061185,4122370,39740
4515,324192,664459,813741,1802392,323643,663387,813022,1800052,3602444,173385
1127,2604199,5583128,4406663,12593990,2605130,5584944,4407881,12597955,25191945,4044411
1006,340854,663591,1011479,2015924,340473,662847,1010979,2014299,4030223,186326
7835,20431,24086,3839,48356,20431,24086,3839,48356,96712,0
9940,95648,172730,86870,355248,95648,172730,86870,355248,710496,0
6800,256035,324249,660066,1240350,256035,324249,660066,1240350,2480700,56887
5402,3473,7655,3264,14392,3473,7655,3264,14392,28784,0
9620,92535,65158,110789,268482,92535,65158,110789,268482,536964,0
5945,15313,8472,10175,33960,15313,8472,10175,33960,67920,0
2737,301120,192167,88178,581465,301120,192167,88178,581465,1162930,55097
5095,223989,282336,883311,1389636,223989,282336,883311,1389636,2779272,31547
7400,6097,4465,24390,34952,6097,4465,24390,34952,69904,0
2739,278300,490899,41415,810614,278300,490899,41415,810614,1621228,3504
2738,11162,14685,532,26379,11162,14685,532,26379,52758,0
2740,26634,23642,3135,53411,26634,23642,3135,53411,106822,0
2732,19608,21832,152596,194036,19608,21832,152596,194036,388072,0
5625,54265,106875,62930,224070,54265,106875,62930,224070,448140,0
2450,7319,9365,0,16684,7319,9365,0,16684,33368,0
8750,1810,3333,147,5290,1810,3333,147,5290,10580,0
9760,69782,61248,178606,309636,69782,61248,178606,309636,619272,0
1176,47674,39985,81767,169426,47674,39985,81767,169426,338852,0
4574,11577,3741,20117,35435,11577,3741,20117,35435,70870,0
9716,75717,62615,91899,230231,75717,62615,91899,230231,460462,0
7503,738,214,962,1914,738,214,962,1914,3828,0
6204,2317,57,196,2570,2317,57,196,2570,5140,0
1360,46867,108704,206255,361826,46867,108704,206255,361826,723652,51049
1141,5457,7627,6161,19245,5457,7627,6161,19245,38490,0
1018,6264,7654,6600,20518,6264,7654,6600,20518,41036,0
2123,172844,551223,195893,919960,172844,551223,195893,919960,1839920,0
1282,10050,9357,1959,21366,10050,9357,1959,21366,42732,0
3501,6931,95437,10202,112570,6931,95437,10202,112570,225140,0
2435,1119,753,111,1983,1119,753,111,1983,3966,0
5253,105085,261905,200513,567503,105085,261905,200513,567503,1135006,0
9668,5781,3423,3613,12817,5781,3423,3613,12817,25634,0
2599,271399,668088,432355,1371842,271399,668088,432355,1371842,2743684,569613
8536,10068,14216,7972,32256,10068,14216,7972,32256,64512,0
5626,37000,37203,65279,139482,37000,37203,65279,139482,278964,0
1993,5165,314,3435,8914,5165,314,3435,8914,17828,0
2195,126181,255888,106779,488848,126181,255888,106779,488848,977696,4
2239,82774,100061,79137,261972,82774,100061,79137,261972,523944,0
5130,35414,78486,116991,230891,35414,78486,116991,230891,461782,0
4304,20083,4889,282,25254,20083,4889,282,25254,50508,0
5254,12166,13847,18556,44569,12166,13847,18556,44569,89138,0
6216,37243,46998,15208,99449,37243,46998,15208,99449,198898,0
5894,17894,15776,26357,60027,17894,15776,26357,60027,120054,0
6237,12955,5409,7385,25749,12955,5409,7385,25749,51498,0
3018,26569,36722,51198,114489,26569,36722,51198,114489,228978,69854
5876,319437,662607,289002,1271046,319437,662607,289002,1271046,2542092,49399
1112,84824,154198,143016,382038,84824,154198,143016,382038,764076,0
1381,1997,3713,10110,15820,1997,3713,10110,15820,31640,0
6027,23956,30538,225167,279661,23956,30538,225167,279661,559322,0
9968,6282,3616,38108,48006,6282,3616,38108,48006,96012,0
5403,4847,10403,11591,26841,4847,10403,11591,26841,53682,0
5693,352933,309354,323572,985859,352933,309354,323572,985859,1971718,0
8346,348074,352627,284962,985663,348074,352628,284962,985664,1971327,15812
8345,287094,463581,362007,1112682,287094,463580,362007,1112681,2225363,22610
3341,60741,71443,39635,171819,60741,71443,39635,171819,343638,3252
5530,26332,1813,4752,32897,26332,1813,4752,32897,65794,0
6801,60962,107352,285585,453899,60962,107352,285585,453899,907798,0
2053,8154,12471,6180,26805,8154,12471,6180,26805,53610,0
2944,25520,40205,51248,116973,25520,40205,51248,116973,233946,0
5500,21072,47481,40720,109273,21072,47481,40720,109273,218546,0
8496,38491,23129,59870,121490,38491,23129,59870,121490,242980,0
7565,2358,2368,173,4899,2358,2368,173,4899,9798,0
7259,1446,1402,372,3220,1446,1402,372,3220,6440,0
9938,17764,15893,13503,47160,17764,15893,13503,47160,94320,0
7200,14260,14736,3675,32671,14260,14736,3675,32671,65342,0
5875,35169,32424,39864,107457,35169,32424,39864,107457,214914,0
2045,429,73,46,548,429,73,46,548,1096,0
2779,13622,40333,24626,78581,13622,40333,24626,78581,157162,0
9251,70,30,0,100,70,30,0,100,200,0
5552,140029,115360,291528,546917,140029,115360,291528,546917,1093834,0
6872,318067,239935,720544,1278546,318067,239935,720544,1278546,2557092,0
1560,9740,8344,5568,23652,9740,8344,5568,23652,47304,0
9889,47266,36107,28926,112299,47266,36107,28926,112299,224598,0
8823,2003,621,221,2845,2003,621,221,2845,5690,0
3809,167909,395717,188623,752249,167909,395717,188623,752249,1504498,32019
9789,73087,51387,70956,195430,73087,51387,70956,195430,390860,0
3449,35657,68479,17061,121197,35657,68479,17061,121197,242394,0
8049,47947,120890,26921,195758,47947,120890,26921,195758,391516,95
2554,7447,1628,928,10003,7447,1628,928,10003,20006,0
6464,262,16,-1,277,262,16,-1,277,554,0
8514,27620,29242,16495,73357,27620,29242,16495,73357,146714,0
