NLC,"Entries  Standard  ",Entries Reduced,"Entries Seasons ",Exits Standard," Exits Reduced",Exits Seasons,Total Entries and Exits
6958,19218.804,16646.722,66795.435,19114.388,16506.028,63914.435,202195.812
7289,6355,11947,2062,5985,13842,2062,42253
7006,1116,1277,493.5,1139,1416,493.5,5935
3623,34367,48865,595,35811,45544,595,165777
5702,2045,5011,560,2233,5047,560,15456
2222,11362,13149,2420.5,11724,14275,2420.5,55351
7290,5,6,0,6,6,0,23
2422,11325,1747,137,13680,1756,137,28782
4182,1138,844,384.5,1158,873,384.5,4782
3502,335,300,0,450,300,0,1385
4317,1763,1512,31,1823,1579,31,6739
1865,28131,27952,4279,24596,26797,4279,116034
7085,1704,6222,12723.5,1591,6532,12723.5,41496
5483,64517,187018,384257.5,70587,192213,384202,1282794.5
8500,71907,40650,7419.5,80855,39829,7419.5,248080
8565,47428,54044,1543,58286,52917,1543,215761
2945,11497,17969,5599,9240,19271,5599,69175
1975,3918,1278,398,3867,1284,398,11143
3176,84484,115930,127970.5,86933,126229,125690.5,667237
6873,8826,37658,86052.5,8303,40221,86052.5,267113
2743,132,269,42.5,338,282,42.5,1106
2550,17647,32791,6475,20073,32786,6475,116247
2549,22150,28617,10241,23657,28623,10241,123529
9767,54919,40574,34066,60893,40620,34066,265138
9107,12840,21493,15151,14100,21496,15151,100231
2279,19191,25006,3292,18165,25470,3292,94416
2280,5909,11260,1072,5909,13107,1072,38329
5927,4947,6853,3401.5,5726,7325,3401.5,31654
6200,2500,1013,467.5,2335,1037,467.5,7820
1658,48824,103358,21438.5,51102,104733,21438.5,350894
2623,0,0,0,1,0,0,1
7008,38568,43517,6060.5,42798,44017,6060.5,181021
9791,23221,15820,11543,24363,15837,11543,102327
6913,65647.659,60176.867,155226.009,40096.597,58017.867,154944.509,534109.508
1395,31648,43139,118477,26785,51180,117493,388722
1179,23684,18676,26370,21166,18745,26370,135011
4409,1618,1167,31,1989,1132,31,5968
5324,4033,6279,13300,3823,7105,13298.5,47838.5
2946,18333,79468,19467,16406,79357,19467,232498
5689,32179,39539,53579,33578,42843,53430,255148
4124,189,192,0,182,189,0,752
3811,38967,51241,34779.5,41458,51239,34779.5,252464
2536,13473,787,0,14113,784,0,29157
3812,61349,141171,59370,68287,141198,59370,530745
4412,4205,6166,30.5,4252,6360,30.5,21044
3680,8175,10733,5107.5,10035,10753,5107.5,49911
1439,12191.418,17535.232,33984.7875,25663.109,19610.478,33984.7875,142969.812
3562,5003,4399,1351.5,5137,4408,1351.5,21650
3238,10391,13045,5316.5,11462,13074,5316.5,58605
5682,53197,89967,42603,51142,98679,42418,378006
3504,24735,28258,874,24543,28286,874,107570
7022,414397,1217661,517539.5,365712,1250016,516417.5,4281743
6962,647.184,1931.353,34128.2695,3447.027,1947.451,34128.2695,76229.554
9768,92152,65623,81026.5,105887,65618,81026.5,491333
1440,42249.145,81407.924,251659.419,61712.579,74478.455,251654.419,763161.941
9878,9565,6902,8864.5,10430,6917,8864.5,51543
1129,9739,13323,14795.5,10029,13344,14795.5,76026
6963,2131.623,2871.4,13045.87,3403.495,3376.4,13045.87,37874.658
1016,16561,30330,2520.5,21439,30638,2520.5,104009
5142,70140,174876,1915926,11810,36707,1915926,4125385
1441,13607.305,19040.562,50542.7065,14264.669,20266.786,50542.7065,168264.735
5164,27655,131706,44444,18395,86534,44444,353178
5007,139185,410146,292172,147401,444859,292162,1725925
7292,2641,2344,446,2927,2345,446,11149
2186,14506,7134,3619.5,19336,7144,3619.5,55359
3542,10526,8040,820.5,12114,8043,820.5,40364
9112,4861,4664,2077,3823,4662,2077,22164
3815,14583,13863,20072.5,15906,13865,20072.5,98362
3820,36905,31529,35492.5,40213,31554,35492.5,211186
3899,712716,1761440,401444.5,705522,1756114,401444.5,5738681
3900,193291,260094,171938,151181,260070,171938,1208512
