NLC," Entries Standard  ",Entries Reduced,"Entries Seasons ",Exits Standard," Exits Reduced",Exits Seasons,Total Entries and Exits
9704,1757,1200,858,1741,1204,858,7618
9680,14387,11369,5989,14915,11456,5989,64105
3098,3705,5235,3590,1789,5842,3590,23751
5703,16393,42807,3244,15624,42729,3244,124041
8359,44981,61309,1916,49062,57709,1916,216893
2919,9918,14497,5415,10463,15627,5415,61335
7914,1259,1539,9983,1218,1540,9983,25522
5351,30473,87199,99613,29791,92911,99613,439600
5077,44001,81128,161636,38460,116907,161636,603768
5047,48551,109621,306883,16782,96691,306883,885411
3820,33878,38868,34401,36621,38887,34401,217056
9795,69698,39259,29715,71948,39258,29715,279593
8232,6472,4558,3836,6981,4558,3836,30241
3568,771,353,0,821,353,0,2298
2425,4707,213,149,5116,213,149,10547
6874,89214,94524,389098,62912,104963,389098,1129809
7447,16122,62027,39131,22304,64084,39131,242799
7469,32994,65332,221791,27855,70499,221791,640262
2762,4372,14268,986,4416,14991,986,40019
5820,122,113,153,161,116,153,818
6664,28201,38288,7354,30241,36659,7354,148097
7051,939,4127,4693,966,4150,4693,19568
5097,4584,9794,9131,3804,12282,9131,48726
9911,293672,218743,241676,322549,218746,241676,1537062
3004,25336,56669,24843,25377,59075,24843,216143
5144,62153,149907,235383,32866,156120,235383,871812
5008,5812,6529,3230,7210,7505,3230,33516
2947,4177,3316,1724,3169,4669,1724,18779
5199,158502,401203,657689,145781,419310,657689,2440174
7792,288,152,217,388,155,217,1417
2870,65489,113137,44470,63049,117521,44470,448136
5352,41945,67458,143951,32384,72349,143951,502038
1372,4204,10879,21364,2857,15272,21364,75940
2764,4874,6526,1312,5819,6533,1312,26376
6836,228665,720218,1438795,188939,772904,1438795,4788316
5098,29369,20092,217292,17924,26194,217292,528163
4731,82449,248043,33214,86363,248105,33214,731388
3774,12907,23566,6194,15189,23816,6194,87866
2573,5232,5014,2399,5672,4996,2399,25712
5553,29024,42702,116760,34257,43748,116760,383251
6814,100446,101645,280261,88304,101964,280261,952881
5582,19824,37707,50960,9917,38201,50960,207569
5554,15544,59741,18812,14948,63295,18812,191152
2412,244884,649682,80313,229363,651551,80313,1936106
7736,21831,4977,6643,22679,4985,6643,67758
1130,45179,45756,2091,45907,45744,2091,186768
6615,124159,231171,47075,131212,231264,47075,811956
5200,6314,11758,34503,6359,13245,34503,106682
5840,356,482,0,568,484,0,1890
5255,128447,376325,202232,123445,369747,202232,1402428
5009,2275,5643,2582,2016,7109,2582,22207
5296,2128,1476,3620,2297,1664,3620,14805
6914,73699,96217,266431,61817,96827,266431,861422
2823,7685,10956,3010,8854,10951,3010,44466
3267,120777,210781,138661,122736,213819,138661,945435
5353,5129,4707,21781,3099,6282,21781,62779
4449,5137,9623,1336,6166,9669,1336,33267
5099,71104,86228,203749,39590,100365,203749,704785
5583,38355,27695,23616,36386,28893,23616,178561
3031,18581,30751,45949,21921,32193,45949,195344
2745,102508,69594,48050,103969,71024,48050,443195
5879,32472,78890,92185,32051,80164,92185,407947
5319,4052,12879,17791,3605,13987,17791,70105
2556,6745,4403,2371,7180,4419,2371,27489
8233,10550,1929,6001,11012,1931,6001,37424
4365,12415,22175,9621,13018,22238,9621,89088
3785,164,156,0,177,173,0,670
5121,243913,1636023,3820091,337343,1590871,3820091,11448332
6850,16020,157283,96980,18101,161384,96980,546748
5555,13521,19602,38122,7507,25906,38122,142780
5301,2244,2768,4454,3342,4539,4454,21801
5595,723903,1275759,1658451,661309,1323093,1658451,7300966
2653,2505,646,191,2325,645,191,6503
6926,28219,60573,117414,19836,64733,117414,408189
4069,1066,1155,421,1091,1157,421,5311
9792,81275,60365,51570,83654,60369,51570,388803
4593,1148,217,179,1185,208,179,3116
5556,35119,60606,108034,25619,74489,108034,411901
6274,31192,47084,1440,31782,47279,1440,160217
9718,8835,6511,1393,10822,6511,1393,35465
3202,34539,3648,6449,39048,3653,6449,93786
2795,74,20,247,127,32,247,747
2574,25576,49228,5483,19341,49758,5483,154869
5048,37746,53656,167667,21359,66470,167667,514565
4070,1391,1675,41,1494,1675,41,6317
9855,63084,60493,71258,73355,60500,71258,399948
9747,10614,6979,1529,16726,6985,1529,44362
9752,63209,51018,29561,64063,51017,29561,288429
9762,40672,27878,15569,37710,27879,15569,165277
5557,41225,72569,112982,30702,90995,112982,461455
4616,5379,5065,10638,5622,5093,10638,42435
3828,15848,25652,15612,19621,25649,15612,117994
6861,102776,621925,820265,102639,641292,820265,3109162
6853,10453,37184,21966,1865,30662,21966,124096
6349,6856,317,988,7242,313,988,16704
5457,6578,11825,8037,7816,13448,8037,55741
2562,10115,15273,4036,9813,15321,4036,58594
4876,8087,7463,3486,9855,7620,3486,39997
2451,28210,87225,11525,25811,87109,11525,251405
3005,360,50,238,405,52,238,1343
7515,408,765,720,537,765,720,3915
1227,21061,14922,11195,22772,14941,11195,96086
6488,6340,12825,1818,6332,12338,1818,41471
8708,716,857,234,1027,859,234,3927
8470,20003,3360,7289,20961,3341,7289,62243
2486,2004,3772,338,2778,3880,338,13110
5458,7731,23046,11580,7378,23917,11580,85232
3019,15950,28295,35222,18915,31291,35222,164895
5336,1007,1257,9249,880,1597,9249,23239
3570,11,39,0,38,39,0,127
5821,203,87,653,274,84,653,1954
7504,7948,13085,1961,11045,13097,1961,49097
1847,29,274,0,66,273,0,642
2049,2148,302,2866,2380,303,2866,10865
8824,668,94,0,611,95,0,1468
8825,3351,1275,0,4629,1275,0,10530
3905,15400,25410,11552,14044,25403,11552,103361
1143,15909,23604,136,16954,23647,136,80386
4617,9476,13703,2036,9514,13921,2036,50686
5896,76607,123243,49866,74725,121352,49866,495659
8056,36249,42023,39743,39805,42031,39743,239594
8505,6438,3137,1014,6634,2638,1014,20875
5408,42943,93863,205412,30760,113337,205412,691727
1030,316760,657991,81603,317893,654687,81603,2110537
5409,319,1080,1955,301,1683,1955,7293
9185,14987,20468,6767,16457,20490,6767,85936
4639,38049,52901,7839,36362,55126,7839,198116
9970,14922,15491,34964,14364,16095,34964,130800
7579,8794,1573,2381,7973,1580,2381,24682
3634,7770,13081,2933,8210,13147,2933,48074
5484,71288,301385,165801,74125,302472,165801,1080872
5100,35872,58918,276765,23806,66405,276765,738531
5754,5234,7293,2208,6217,7307,2208,30467
6837,192,2016,12372,1487,3359,12372,31798
2225,19073,29522,490,19045,29961,490,98581
1243,221498,389293,96863,209100,389903,96863,1403520
5832,4382,32596,1056,4625,32977,1056,76692
6007,1923,4270,1400,6506,4256,1400,19755
8826,3647,1895,0,3475,1897,0,10914
4312,3184,4932,314,2879,5125,314,16748
1519,19666,58223,76261,11018,64219,76261,305648
9778,32113,20999,27112,29717,20999,27112,158052
5078,24094,33687,93288,11066,39793,93288,295216
7295,13191,18936,189,14880,19006,189,66391
