NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0910 Entries & Exits,0910 interchanges
2420,309,153,144,606,309,153,144,606,1212,0
9966,93438,70030,79832,243300,93438,70030,79832,243300,486600,0
5091,26913,59442,119314,205669,26913,59442,119314,205669,411338,0
8822,109,27,0,136,109,27,0,136,272,0
5890,937,1386,266,2589,937,1386,266,2589,5178,0
8877,12201,12546,800,25547,12201,12546,800,25547,51094,0
2188,213383,212689,142241,568313,213383,212689,142241,568313,1136626,0
7258,14056,26035,982,41073,14056,26035,982,41073,82146,0
5076,21840,27419,84606,133865,21840,27419,84606,133865,267730,0
5046,181414,268285,832527,1282226,181414,268285,832527,1282226,2564452,65866
1512,185896,646194,658181,1490271,185896,646194,658181,1490271,2980542,32659
1510,1121,2285,2548,5954,1121,2285,2548,5954,11908,0
5538,19100,17597,12363,49060,19100,17597,12363,49060,98120,0
3245,13321,9589,12039,34949,13321,9589,12039,34949,69898,0
1165,11896,2169,4219,18284,11896,2169,4219,18284,36568,0
3070,5549,26532,9665,41746,5549,26532,9665,41746,83492,0
1625,108060,61210,38089,207359,108060,61210,38089,207359,414718,15529
5198,4562,9268,9155,22985,4562,9268,9155,22985,45970,0
2785,874,3998,1256,6128,874,3998,1256,6128,12256,0
9895,86596,75130,50854,212580,86596,75130,50854,212580,425160,20472
5062,39783,42463,217576,299822,39783,42463,217576,299822,599644,0
9714,102132,83002,105431,290565,102132,83002,105431,290565,581130,35328
5350,13778,11622,40818,66218,13778,11622,40818,66218,132436,0
1679,26399,29733,11337,67469,26399,29733,11337,67469,134938,0
5227,1658,1387,2721,5766,1658,1387,2721,5766,11532,0
5092,54296,57515,197387,309198,54296,57515,197387,309198,618396,0
8047,1906,2155,860,4921,1906,2155,860,4921,9842,0
8564,30524,40631,15895,87050,30524,40631,15895,87050,174100,0
7439,357512,349306,715271,1422089,357512,349306,715271,1422089,2844178,0
2676,7412,1483,686,9581,7412,1483,686,9581,19162,0
5624,15349,12227,33426,61002,15349,12227,33426,61002,122004,0
8352,31203,14580,30992,76775,31203,14580,30992,76775,153550,0
3549,1941,10765,5430,18136,1941,10765,5430,18136,36272,0
3550,448,4453,1402,6303,448,4453,1402,6303,12606,0
1390,176251,240936,278057,695244,176251,240936,278057,695244,1390488,0
1045,23655,34117,40044,97816,23655,34117,40044,97816,195632,0
7330,534,280,0,814,534,280,0,814,1628,0
8431,7651,4988,2484,15123,7651,4988,2484,15123,30246,0
5581,30872,39945,99130,169947,30872,39945,99130,169947,339894,0
5323,5827,19262,9291,34380,5827,19262,9291,34380,68760,0
7791,13368,181143,15216,209727,13368,181143,15216,209727,419454,2579
2351,934,1043,0,1977,934,1043,0,1977,3954,0
