NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1112 Entries & Exits,Interchanges
3104,12310,79016,15286,106612,12310,79016,15286,106612,213224,
5063,83200,79064,230943,393207,83200,79064,230943,393207,786414,1774.7115
2136,50799,55861,31198,137858,50799,55861,31198,137858,275716,102228.5549
6170,91916,129483,172661,394060,91916,129483,172661,394060,788120,
4618,16669,15268,32377,64314,16669,15268,32377,64314,128628,
6871,217141,251388,935337,1403866,217141,251388,935337,1403866,2807732,
7910,20731,9594,5339,35664,20731,9594,5339,35664,71328,
5464,36018,75602,107409,219029,36018,75602,107409,219029,438058,
6235,6801,9321,2289,18411,6801,9321,2289,18411,36822,
8553,166471,208668,230688,605827,166471,208668,230688,605827,1211654,
3907,5384,332,4998,10714,5384,332,4998,10714,21428,
5163,14297,33110,87690,135097,14297,33110,87690,135097,270194,
2304,115381,83976,78212,277569,115381,83976,78212,277569,555138,
5401,11648,8085,14587,34320,11648,8085,14587,34320,68640,
2352,90816,173826,102833,367475,90816,173826,102833,367475,734950,
2217,181691,206385,114530,502606,181691,206385,114530,502606,1005212,
2219,462293,440107,359587,1261987,462293,440107,359587,1261987,2523974,313190.0376
2145,173837,175015,102757,451609,173837,175015,102757,451609,903218,75630.4584
2220,203229,198386,152504,554119,203229,198386,152504,554119,1108238,
4513,586,5558,923,7067,586,5558,923,7067,14134,
1215,593219,967661,613498,2174378,593219,967661,613498,2174378,4348756,78446.8383
4515,548955,1274640,1109366,2932961,548955,1274640,1109366,2932961,5865922,420544.5789
1127,2835392,6376916,6405511,15617819,2835392,6376916,6405511,15617819,31235638,5104384.14190003
1006,344410,765360,1155495,2265265,344410,765360,1155495,2265265,4530530,182278.3937
7835,34879,12578,2948,50405,34879,12578,2948,50405,100810,
9940,106549,196006,100276,402831,106549,196006,100276,402831,805662,
6800,303823,343122,683125,1330070,303823,343122,683125,1330070,2660140,73065.5943
5402,3871,9697,3711,17279,3871,9697,3711,17279,34558,
9620,84458,62235,93186,239879,84458,62235,93186,239879,479758,
5945,18655,11760,12945,43360,18655,11760,12945,43360,86720,
2737,357139,197646,130515,685300,357139,197646,130515,685300,1370600,91698.6436
5112,1041237,1031328,4331583,6404148,1041237,1031328,4331583,6404148,12808296,1062387.9078
5095,315817,349392,773867,1439076,315817,349392,773867,1439076,2878152,14705.2617
7400,126110,181043,27374,334527,126110,181043,27374,334527,669054,
2739,344847,471842,45964,862653,344847,471842,45964,862653,1725306,5979.3107
2738,19812,27082,592,47486,19812,27082,592,47486,94972,
2740,38196,27740,6248,72184,38196,27740,6248,72184,144368,
991,7866,8241,5524,21631,7866,8241,5524,21631,43262,
2732,16737,21762,189728,228227,16737,21762,189728,228227,456454,
5625,45236,107139,64479,216854,45236,107139,64479,216854,433708,
2450,11016,12868,21,23905,11016,12868,21,23905,47810,
8750,2164,3846,294,6304,2164,3846,294,6304,12608,
9760,65463,64241,154305,284009,65463,64241,154305,284009,568018,
1176,45302,44279,67305,156886,45302,44279,67305,156886,313772,
4574,10838,4062,26757,41657,10838,4062,26757,41657,83314,
9716,84819,84830,93901,263550,84819,84830,93901,263550,527100,
7503,598,210,1302,2110,598,210,1302,2110,4220,
6204,1530,268,231,2029,1530,268,231,2029,4058,
1360,53727,149783,221172,424682,53727,149783,221172,424682,849364,74673.4573
1141,7954,11456,175,19585,7954,11456,175,19585,39170,
1018,10071,12543,108,22722,10071,12543,108,22722,45444,
2123,186433,431309,203994,821736,186433,431309,203994,821736,1643472,
1282,15967,11332,4701,32000,15967,11332,4701,32000,64000,
3501,6900,105614,11769,124283,6900,105614,11769,124283,248566,
2435,2453,874,876,4203,2453,874,876,4203,8406,
5253,106537,306517,197077,610131,106537,306517,197077,610131,1220262,
9668,9507,17737,4252,31496,9507,17737,4252,31496,62992,
2599,293358,808321,529542,1631221,293358,808321,529542,1631221,3262442,617715.232399999
8536,9016,13932,7046,29994,9016,13932,7046,29994,59988,
5626,45748,45982,55724,147454,45748,45982,55724,147454,294908,
1993,4374,262,1762,6398,4374,262,1762,6398,12796,
2195,147267,196663,112005,455935,147267,196663,112005,455935,911870,2.627
2239,98868,74485,82229,255582,98868,74485,82229,255582,511164,
