NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0607        Entries & Exits," 0607 Interchanges"
8822,89,56,0,145,106,56,0,162,307,0
5890,340,650,113,1103,351,679,113,1143,2246,0
8877,8680,473,147,9300,9519,16894,147,26560,35860,0
2188,109652,102654,1824,214130,111829,102640,1824,216293,430423,0
7258,12441,14831,1228,28500,11449,21322,1228,33999,62499,0
5076,17920,17084,74887,109891,15788,17184,74887,107859,217750,0
5046,159856,245651,820613,1226120,151703,245950,820613,1218266,2444386,133024
1512,175395,594339,736929,1506663,179092,611143,736929,1527164,3033827,81816
1510,37,115,218,370,234,120,218,572,942,0
5538,20389,15244,14542,50175,21366,15493,14542,51401,101576,0
3245,10708,4159,6528,21395,11326,4130,6528,21984,43379,0
1165,6904,1426,1005,9335,7855,1522,1005,10382,19717,0
3070,9122,17001,11775,37898,9000,18375,11775,39150,77048,0
1625,93137,58564,34068,185769,90848,57563,34068,182479,368248,3972
5198,4879,7705,11241,23825,6280,7699,11241,25220,49045,0
2785,651,3186,196,4033,841,3397,196,4434,8467,0
9895,78325,66599,23736,168660,78376,66617,23736,168729,337389,13678
5062,34852,40182,236918,311952,28258,40077,236918,305253,617205,0
9714,98820,78380,80009,257209,103866,78388,80009,262263,519472,9292
5350,9318,9598,38271,57187,9524,9606,38271,57401,114588,0
1679,16806,14981,5651,37438,19300,15175,5651,40126,77564,218
5227,685,1028,1616,3329,1171,1114,1616,3901,7230,0
5092,45991,47482,221497,314970,38274,47596,221497,307367,622337,0
8047,1618,1781,1587,4986,1576,1776,1587,4939,9925,0
8564,31021,32098,6875,69994,30595,32370,6875,69840,139834,0
7439,287524,309765,639329,1236618,294096,309995,639329,1243420,2480038,0
2676,6515,1494,10,8019,7007,1499,10,8516,16535,0
5624,11241,10801,29591,51633,12620,11015,29591,53226,104859,0
8352,31064,14518,6519,52101,25488,14533,6519,46540,98641,0
3549,3590,7317,2279,13186,3699,7702,2279,13680,26866,0
3550,1401,3772,143,5316,1407,3958,143,5508,10824,0
1390,145840,215018,304447,665305,137301,232961,304447,674709,1340014,0
1045,22427,32027,1821,56275,21758,32109,1821,55688,111963,0
7330,164,137,0,301,284,137,0,421,722,0
8431,6847,3684,542,11073,6971,3663,542,11176,22249,0
5581,25059,37299,97664,160022,34504,37283,97664,169451,329473,0
5323,5609,18337,18369,42315,5581,18863,18369,42813,85128,0
7791,16486,157345,16990,190821,15857,156887,16990,189734,380555,1977
2351,956,699,98,1753,599,704,98,1401,3154,0
1003,10118,18181,7,28306,8621,18096,7,26724,55030,0
5472,2042,1717,3252,7011,2284,1956,3252,7492,14503,0
6961,22573,56177,154555,233305,44102,56876,154555,255533,488838,0
2449,10299,2783,41,13123,10107,2761,41,12909,26032,0
8048,66659,107454,122322,296435,72078,107486,122322,301886,598321,110
5211,80133,192636,270142,542911,81799,191935,270142,543876,1086787,0
5093,85735,94850,391853,572438,84290,95214,391853,571357,1143795,0
5094,178029,210842,1114203,1503074,160104,211261,1114203,1485568,2988642,0
3048,62907,191085,144617,398609,63441,195155,144617,403213,801822,0
3104,6647,5411,9843,21901,6595,5611,9843,22049,43950,0
5063,59376,66387,271332,397095,55358,66471,271332,393161,790256,1817
2136,28497,24942,707,54146,29040,24942,707,54689,108835,186543
6170,53501,113763,174253,341517,53713,119886,174253,347852,689369,0
4618,7152,4894,3818,15864,7411,4951,3818,16180,32044,0
6871,195436,239935,955456,1390827,199713,245643,955456,1400812,2791639,0
7910,12620,12153,5352,30125,14503,12201,5352,32056,62181,0
