" NLC Code"," Entries Standard"," Entries Reduced"," Entries Season",Total Entries," Exits Standard"," Exits Reduced"," Exits Season",Total Exits," All Entries & Exits 0405",Interchanges
2961,196064,615313,13327.365,824704.365,177685,560543,13327.365,751555.365,1576260,13920
9419,372664,278166,223061.865,873891.865,243145,231257,223061.865,697463.865,1571356,232958
5219,118484,374864,290731.7805,784079.7805,128961,365709,290731.7805,785401.7805,1569482,86914
5663,206932,387572,185835.945,780339.945,185276,408885,185835.945,779996.945,1560337,154744
5423,189287.1837,169077.2937,416472.9957,774837.4731,191609.9211,169457.3596,416472.9957,777540.2764,1552378,316574
2262,252658,525563,12333.215,790554.215,220713,525976,12333.215,759022.215,1549576,19421
1243,270879,393744,103839.325,768462.325,264237,392023,103839.325,760099.325,1528562,1182178
7446,152786,129658,476730.45,759174.45,161320,129909,476730.45,767959.45,1527134,
3580,222014,514199,30852.99,767065.99,208052,513040,30852.99,751944.99,1519011,66154
5594,282078.7198,216067.3352,319188.9642,817335.0192,158308.999,214818.5302,319188.9642,692316.4934,1509652,
5139,131390,129187,495164.3747,755741.3747,107575,129102,495164.3747,731841.3747,1487583,729327
5572,167297.907,206380.3524,372542.9442,746221.2036,158435.9954,206789.3581,372542.9442,737768.2977,1483990,44445
5669,206307,294110,238769.9601,739186.9601,207557,290097,238769.9601,736423.9601,1475611,
5579,123814.611,160979.6063,457486.2386,742280.4559,110040.833,161274.6063,457486.2386,728801.6779,1471082,
5428,125903.7198,178426.6245,431168.5523,735498.8966,119607.7289,178708.6245,431168.5523,729484.9057,1464984,
3230,297009,308039,125673.59,730721.59,297632,302323,125673.59,725628.59,1456350,427218
7445,178429,113536,435143.42,727108.42,179480,113918,435143.42,728541.42,1455650,
6022,174412,208381,334489.9201,717282.9201,182824,205439,334489.9201,722752.9201,1440036,
9039,157773.5,478581,87199.01,723553.51,149858.5,476908,87199.01,713965.51,1437519,32095
1397,155518.0068,272161.9005,302850.3468,730530.2541,119793.4786,271567.9193,302850.3468,694211.7447,1424742,149993
6814,152267,161314,387660.0601,701241.0601,157856,162231,387660.0601,707747.0601,1408988,38675
6070,205042,269974,225433.98,700449.98,210051,271284,225433.98,706768.98,1407219,
9911,263818,125388,321285.915,710491.915,248898,125563,321285.915,695746.915,1406239,
5633,107888,231491,354631.7663,694010.7663,107148,244051,354631.7663,705830.7663,1399842,87929
4222,178304,455577,64667.44,698548.44,169176,453700,64667.44,687543.44,1386092,149731
1391,175639,286514,218883.705,681036.705,190147,291568,218883.705,700598.705,1381635,6264
7420,124452,188061,408977.7,721490.7,61926,176822,408977.7,647725.7,1369216,276
6812,155815,187027,339021.005,681863.005,156075,190369,339021.005,685465.005,1367328,392045
5394,122126.3423,132864.5854,430598.0347,685588.9624,114913.2836,132924.8854,430598.0347,678436.2037,1364025,
6108,110659,257985,309071.8,677715.8,113763,259737,309071.8,682571.8,1360288,
5167,116904,200697,360136.48,677737.48,121820,196314,360136.48,678270.48,1356008,85068
4891,231410,235229,198281.62,664920.62,251257,241331,198281.62,690869.62,1355790,48167
3175,155182,336901,184621.585,676704.585,155373,335535,184621.585,675529.585,1352234,28448
3074,168910,225657,273913.565,668480.565,180012,228524,273913.565,682449.565,1350930,26236
9917,308238,165511,209798.38,683547.38,283475,165584,209798.38,658857.38,1342405,138351
1534,93742,202766,370746.1679,667254.1679,95272,208441,370746.1679,674459.1679,1341713,
5368,165012.1284,172826.1691,329243.1077,667081.4052,170235.0716,171573.1577,329243.1077,671051.337,1338133,59861
5483,84249.46,197339,380739.185,662327.645,90124.9,194899,380739.185,665763.085,1328091,
4387,193794,378401,78279.335,650474.335,186897,379832,78279.335,645008.335,1295483,141926
5075,110787,163720,369939.765,644446.765,113052,163600,369939.765,646591.765,1291039,133047
6663,175848,454019,23887.185,653754.185,157104,454269,23887.185,635260.185,1289014,15208
6085,120514.41,167075,339758.1872,627347.5972,152241.4,168006,339758.1872,660005.5872,1287353,61
5404,111283.4157,169212.3834,362192.1916,642687.9907,111820.8154,169532.3834,362192.1916,643545.3904,1286233,
6340,256174,281117,111050.28,648341.28,239311,279047,111050.28,629408.28,1277750,20270
5435,128900.9067,146388.3512,366744.3879,642033.6458,119381.9758,145873.3512,366744.3879,631999.7149,1274033,
2685,282220,295353,63647.32,641220.32,270999,294360,63647.32,629006.32,1270227,206994
5588,227708.2067,150312.3692,314998.319,693018.8949,107888.5154,148659.9323,314998.319,571546.7667,1264566,
6959,116389.685,153572.2909,357641.9538,627603.9297,120735.5639,156844.4458,357641.9538,635221.9635,1262826,
5522,137025,183252,305824.875,626101.875,142009,188588,305824.875,636421.875,1262524,9059
