NLC,Entries_Full,Entries_Reduced,Entries_Season,Entries_Total,Exits_Full,Exits_Reduced,Exits_Season,Exits_Total,1415 Entries & Exits,1415 Interchanges
2732,17868,17915,237023,272806,17868,17915,237023,272806,545612,0
5625,62049,119861,71739,253649,62049,119861,71739,253649,507298,0
2450,10261,13397,175,23833,10261,13397,175,23833,47666,0
8750,2612,5218,201,8031,2612,5218,201,8031,16062,0
9760,50875,82568,91406,224849,50875,82568,91406,224849,449698,0
1176,46968,44754,80274,171996,46968,44754,80274,171996,343992,0
4574,10050,5133,30666,45849,10050,5133,30666,45849,91698,0
9716,70262,123846,117421,311529,70262,123846,117421,311529,623058,0
7503,1887,1149,2904,5940,1887,1149,2904,5940,11880,0
6204,1862,247,160,2269,1862,247,160,2269,4538,0
1360,63171,184143,247145,494459,63171,184143,247145,494459,988918,85134.0127
1141,9830,10125,137,20092,9830,10125,137,20092,40184,0
1018,10342,9926,204,20472,10342,9926,204,20472,40944,0
2123,164547,352661,167617,684825,164547,352661,167617,684825,1369650,0
1282,18669,12953,7613,39235,18669,12953,7613,39235,78470,0
3501,7668,99201,12019,118888,7668,99201,12019,118888,237776,0
2435,1836,923,80,2839,1836,923,80,2839,5678,0
5253,101626,315818,200953,618397,101626,315818,200953,618397,1236794,0
9668,5142,5598,8488,19228,5142,5598,8488,19228,38456,0
2599,342022,730839,686497,1759358,342022,730839,686497,1759358,3518716,499120.414300001
8536,11564,15067,12234,38865,11564,15067,12234,38865,77730,0
5626,47477,48474,63470,159421,47477,48474,63470,159421,318842,0
1993,5520,304,1107,6931,5520,304,1107,6931,13862,0
2195,123949,248181,115157,487287,123949,248181,115157,487287,974574,3118.613
2239,81078,104161,123427,308666,81078,104161,123427,308666,617332,0
5130,34514,72360,100934,207808,34514,72360,100934,207808,415616,0
4304,19321,7417,93,26831,19321,7417,93,26831,53662,0
5254,12984,19654,19117,51755,12984,19654,19117,51755,103510,0
6216,39167,55986,9656,104809,39167,55986,9656,104809,209618,0
5894,22785,23043,31366,77194,22785,23043,31366,77194,154388,0
6237,10828,8270,9625,28723,10828,8270,9625,28723,57446,0
3018,29039,37089,56281,122409,29039,37089,56281,122409,244818,61801.8783
5876,316719,788039,207583,1312341,316719,788039,207583,1312341,2624682,74731.1701
1112,99558,183793,233761,517112,99558,183793,233761,517112,1034224,0
1381,2711,3788,13960,20459,2711,3788,13960,20459,40918,0
6027,59209,47881,372250,479340,59209,47881,372250,479340,958680,0
9968,4297,7057,16153,27507,4297,7057,16153,27507,55014,0
5403,10161,20031,21265,51457,10161,20031,21265,51457,102914,0
5693,424426,359240,373943,1157609,424426,359240,373943,1157609,2315218,0
8346,355432,343033,341836,1040301,355432,343033,341836,1040301,2080602,41486.153
8345,366594,611667,483217,1461478,366594,611667,483217,1461478,2922956,74189.2822
3341,102303,111022,54148,267473,102303,111022,54148,267473,534946,5776.2322
5530,17348,2184,5945,25477,17348,2184,5945,25477,50954,0
6801,56139,112399,235582,404120,56139,112399,235582,404120,808240,0
2053,9881,18531,7765,36177,9881,18531,7765,36177,72354,0
2944,27703,45535,59416,132654,27703,45535,59416,132654,265308,0
5500,29151,60422,49287,138860,29151,60422,49287,138860,277720,0
8496,50223,41094,61473,152790,50223,41094,61473,152790,305580,0
7565,3854,3616,2117,9587,3854,3616,2117,9587,19174,0
7259,1400,2342,742,4484,1400,2342,742,4484,8968,0
9938,17494,25636,15572,58702,17494,25636,15572,58702,117404,0
7200,20503,21154,9941,51598,20503,21154,9941,51598,103196,0
5875,39303,51200,37668,128171,39303,51200,37668,128171,256342,0
2045,377,69,0,446,377,69,0,446,892,0
2779,19556,43582,44693,107831,19556,43582,44693,107831,215662,0
9251,34,12,0,46,34,12,0,46,92,0
5552,279958,222699,347344,850001,279958,222699,347344,850001,1700002,0
6872,370690,359771,705204,1435665,370690,359771,705204,1435665,2871330,0
1560,4997,4021,5603,14621,4997,4021,5603,14621,29242,0
9889,55127,47096,35263,137486,55127,47096,35263,137486,274972,0
8823,2011,1001,0,3012,2011,1001,0,3012,6024,0
3809,268654,263218,227238,759110,268654,263218,227238,759110,1518220,45590.5426999999
9789,88664,121685,113158,323507,88664,121685,113158,323507,647014,0
3449,44390,94762,15276,154428,44390,94762,15276,154428,308856,0
8049,76678,103671,30994,211343,76678,103671,30994,211343,422686,168.1035
2554,10294,2166,3314,15774,10294,2166,3314,15774,31548,0
6464,407,93,0,500,407,93,0,500,1000,0
8514,52056,92826,47579,192461,52056,92826,47579,192461,384922,0
